key,ko,en
wizard.step6,마지막 접촉 (+7일),Final Touch (+7 days)
stats.campaignStats,캠페인 통계,Campaign Statistics
stats.enrolledLeads,등록된 리드,Enrolled Leads
stats.generatedDrafts,생성된 이메일 초안,Generated Email Drafts
stats.generatedDraftsDesc,개의 이메일이 생성되었습니다,emails have been generated
drafts.generatedEmails,생성된 이메일 초안,Generated Email Drafts
drafts.generationMode.ai,AI 생성,AI Generated
drafts.generationMode.template,템플릿,Template
drafts.status.edited,수정됨,Edited
drafts.status.generated,생성됨,Generated
toast.requiredFields,필수 항목을 입력해주세요,Please enter required fields
toast.requiredFieldsDesc,캠페인 이름 워크스페이스 고객 그룹은 필수 항목입니다.,Campaign name workspace and customer group are required.
toast.campaignCreated,캠페인 생성 완료,Campaign Created
toast.campaignCreatedDesc,이제 AI로 이메일을 생성해보세요!,Now generate emails with AI!
toast.campaignCreateFailed,캠페인 생성 실패,Campaign Creation Failed
toast.selectEmailAccount,이메일 계정을 선택해주세요,Please select an email account
toast.aiGenerationComplete,AI 캠페인 생성 완료!,AI Campaign Generation Complete!
toast.aiGenerationCompleteDesc,{{totalLeads}}명의 리드에 대해 {{totalDrafts}}개의 이메일 초안이 생성되었습니다.,{{totalDrafts}} email drafts have been generated for {{totalLeads}} leads.
toast.aiGenerationFailed,AI 생성 실패,AI Generation Failed
toast.campaignStarted,캠페인 시작!,Campaign Started!
toast.campaignStartedDesc,이메일이 예약된 시간에 자동으로 발송됩니다.,Emails will be sent automatically at scheduled times.
toast.campaignStartFailed,캠페인 시작 실패,Campaign Start Failed
toast.unknownError,알 수 없는 오류가 발생했습니다.,An unknown error occurred.
table.column.campaignName,캠페인명,Campaign Name
table.column.description,설명,Description
table.column.status,상태,Status
table.column.workspace,워크스페이스,Workspace
table.column.customerGroup,고객 그룹,Customer Group
table.column.createdBy,생성자,Created By
table.column.createdAt,생성일,Created Date
table.column.updatedAt,수정일,Updated Date
table.column.actions,작업,Actions
table.noCampaigns,캠페인이 없습니다,No campaigns available
table.noCampaignsDesc,새 캠페인을 생성하여 시작하세요,Create a new campaign to get started
generating.aiGenerating,AI 생성 중...,AI Generating...
creating.creating,생성 중...,Creating...
starting.starting,시작 중...,Starting...
form.campaignNameRequired,캠페인 이름 *,Campaign Name *
form.descriptionLabel,설명,Description
form.workspaceRequired,워크스페이스 *,Workspace *
form.customerGroupRequired,고객 그룹 *,Customer Group *
form.emailAccountRequired,발신 이메일 계정 *,Sender Email Account *
form.leadCount,{{count}}명,{{count}} leads
button.nextStep,다음,Next
button.previousStep,이전,Previous
button.generateWithAIButton,AI로 생성하기,Generate with AI
button.startCampaignButton,캠페인 시작하기,Start Campaign
wizard.step1Title,캠페인 기본 정보,Campaign Basic Information
wizard.step1Description,캠페인 이름 워크스페이스 대상 고객 그룹을 설정하세요,Set campaign name workspace and target customer group
wizard.step2Title,AI 이메일 생성,AI Email Generation
wizard.step2Description,AI가 각 리드에 맞춰 6단계 이메일 캠페인을 자동으로 생성합니다,AI automatically generates a 6-step email campaign tailored for each lead
wizard.step3Title,캠페인 통계,Campaign Statistics
review.generatedEmailDrafts,생성된 이메일 초안,Generated Email Drafts
review.draftsGenerated,{{count}}개의 이메일이 생성되었습니다,{{count}} emails have been generated
review.noDataAvailable,데이터 없음,No data available
detail.notFound,캠페인을 찾을 수 없습니다,Campaign not found
detail.info.title,캠페인 정보,Campaign Information
detail.info.workspace,워크스페이스,Workspace
detail.info.customerGroup,고객 그룹,Customer Group
detail.info.createdBy,생성자,Created By
detail.info.createdAt,생성일,Created At
detail.tabs.overview,개요,Overview
detail.tabs.metrics,메트릭스,Metrics
detail.tabs.enrollments,등록 현황,Enrollments
detail.overview.totalEnrollments,전체 등록,Total Enrollments
detail.overview.activeEnrollments,활성,Active
detail.overview.completedEnrollments,완료,Completed
detail.overview.pausedEnrollments,일시중지,Paused
detail.metrics.loading,메트릭스 로딩 중...,Loading metrics...
detail.metrics.delivery,발송 통계,Delivery Statistics
detail.metrics.totalSent,전체 발송,Total Sent
detail.metrics.delivered,전달됨,Delivered
detail.metrics.bounced,반송됨,Bounced
detail.metrics.bounceRate,반송률,Bounce Rate
detail.metrics.engagement,참여 통계,Engagement Statistics
detail.metrics.opened,열람,Opened
detail.metrics.clicked,클릭,Clicked
detail.metrics.replied,답장,Replied
detail.metrics.unsubscribed,구독 취소,Unsubscribed
detail.metrics.noData,메트릭스 데이터가 없습니다,No metrics data available
detail.enrollments.comingSoon,등록 현황 테이블 준비 중...,Enrollments table coming soon...
detail.tabs.steps,단계,Steps
steps.creationMode,생성 모드,Creation Mode
steps.aiGeneration,AI 생성 (6단계),AI Generation (6 steps)
steps.manualCreation,수동 단계 생성,Manual Step Creation
steps.stepsCreated,{{count}}개의 단계 생성됨,{{count}} steps created
steps.addStep,단계 추가,Add Step
steps.editStep,단계 수정,Edit Step
steps.noStepsYet,아직 생성된 단계가 없습니다. '단계 추가'를 클릭하여 첫 번째 단계를 생성하세요.,No steps created yet. Click 'Add Step' to create your first step.
steps.noSteps,아직 생성된 단계가 없습니다,No steps created yet
steps.noStepsDesc,캠페인이 생성되면 단계가 여기에 표시됩니다,Steps will appear here once the campaign is generated
steps.formDescription,타이밍과 콘텐츠를 포함한 이메일 단계 세부 정보를 설정하세요.,Configure the email step details including timing and content.
steps.fields.stepOrder,단계 순서,Step Order
steps.fields.stepOrderDesc,이 단계가 실행될 순서,The order in which this step will be executed
steps.fields.delayDays,지연 일수,Delay Days
steps.fields.delayDaysDesc,이전 단계 이후 대기할 일수 (0은 즉시),Number of days to wait after the previous step (0 for immediate)
steps.fields.scheduledHour,시 (0-23),Hour (0-23)
steps.fields.scheduledMinute,분 (0-59),Minute (0-59)
steps.fields.timezone,시간대,Timezone
steps.fields.timezonePlaceholder,시간대 선택,Select timezone
steps.fields.timezoneDesc,예약 시간의 시간대 (선택사항),Timezone for the scheduled time (optional)
steps.fields.emailSubject,이메일 제목,Email Subject
steps.fields.emailSubjectPlaceholder,이메일 제목을 입력하세요,Enter email subject
steps.fields.emailBody,이메일 본문,Email Body
steps.fields.emailBodyPlaceholder,이메일 본문 내용을 입력하세요,Enter email body content
steps.fields.emailBodyDesc,발송될 이메일의 내용,The content of the email to be sent
steps.immediate,즉시,Immediate
steps.afterDays,+{{count}}일,+{{count}} days
toast.stepCreated,단계가 생성되었습니다,Step created successfully
toast.stepCreateFailed,단계 생성 실패,Failed to create step
toast.atLeastOneStep,최소 하나의 단계를 생성해주세요,Please create at least one step
enrollments.actions,작업,Actions
enrollments.company,회사,Company
enrollments.currentStep,현재 단계,Current Step
enrollments.emailAccount,이메일 계정,Email Account
enrollments.enrolledAt,등록일,Enrolled At
enrollments.noEnrollments,등록된 항목이 없습니다,No enrollments found
enrollments.showing,{{start}}-{{end}} / {{total}}개 표시,Showing {{start}}-{{end}} of {{total}}
enrollments.status,상태,Status
enrollments.statusLabel.active,활성,Active
enrollments.statusLabel.bounced,반송됨,Bounced
enrollments.statusLabel.completed,완료됨,Completed
enrollments.statusLabel.paused,일시중지,Paused
enrollments.statusLabel.stopped,중지됨,Stopped
enrollments.statusLabel.unsubscribed,구독취소,Unsubscribed
enrollments.statusUpdateFailed,등록 상태 업데이트 실패,Failed to update enrollment status
enrollments.statusUpdated,등록 상태가 업데이트되었습니다,Enrollment status updated
steps.addNewStep,새 단계 추가,Add New Step
steps.addStepButton,단계 추가,Add Step
toast.fallbackUsed,AI 생성 실패 기본 6단계 템플릿 사용,AI generation failed using default 6-step template
review.afterDays,+{{days}}일,+{{days}} days
review.campaignSteps,캠페인 단계,Campaign Steps
review.stepsGenerated,{{count}}개 단계 생성됨,{{count}} steps created
review.dayZero,Day 0,Day 0
review.noSchedule,예약 없음,Not scheduled
toast.stepUpdated,단계가 업데이트되었습니다,Step updated successfully
toast.stepUpdateFailed,단계 업데이트 실패,Failed to update step
success.title,캠페인이 성공적으로 생성되었습니다!,Campaign Generated Successfully!
success.description,시작하기 전에 단계를 편집할 수 있는 검토 단계로 이동 중...,Moving to review step where you can edit steps before launching...
success.loading,검토 로딩 중...,Loading review...
filter.all,전체,All
search.placeholder,캠페인 검색...,Search campaigns...
confirm.deleteCampaigns,선택한 {{count}}개의 캠페인을 삭제하시겠습니까?,Are you sure you want to delete {{count}} selected campaign(s)?
toast.bulkDeleteSuccess,선택한 캠페인이 삭제되었습니다,Selected campaigns deleted successfully
toast.noCampaignsSelected,캠페인을 선택해주세요,Please select campaigns
toast.bulkStatusUpdateSuccess,선택한 캠페인의 상태가 업데이트되었습니다,Selected campaigns status updated successfully
table.status.completed,완료됨,Completed
button.changeStatus,상태 변경,Change Status
button.deleteSelected,선택 항목 삭제,Delete Selected
status.selectedCount,개 선택됨, selected
table.button.pause,일시중지,Pause
table.button.activate,활성화,Activate
table.pagination.displaying,전체 {{count}}개,{{count}} total
table.pagination.displayingZero,표시할 캠페인이 없습니다,No campaigns to display
table.pagination.first,처음,First
table.pagination.last,마지막,Last
table.pagination.goTo,이동,Go to
table.pagination.page,페이지,page
common.loading,로딩 중...,Loading...
common.viewDetails,상세 보기,View Details
